Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0.318665	0
YAL067W-A	0	0	0
YAL067C	0.437757	0.61613	0.50182
YAL066W	0	0	0
YAL065C	2.12752	2.89571	3.07562
YAL064W-B	3.49522	2.20169	4.62217
YAL064C-A	6.0372	9.08199	4.4212
YAL064W	0	0	1.32813
YAL063C-A	0.93951	0.813742	0.594207
YAL063C	0.676494	0.683591	0.755883
YAL062W	7.90385	8.3958	7.19183
YAL061W	5.59235	5.45823	5.06789
YAL060W	36.4901	36.772	33.7191
YAL059C-A	36.1574	44.4704	35.3696
YAL059W	56.6763	58.1247	52.6464
YAL058W	13.9143	12.7148	12.0846
YAL056C-A	19.326	22.0811	20.285
YAL056W	14.0159	14.78	13.3744
YAL055W	10.129	11.3679	10.7372
YAL054C	4.2984	4.83605	3.7836
YAL053W	29.9163	31.7675	30.0213
YAL051W	9.90976	10.8545	10.8125
YAL049C	56.0088	54.7135	50.8439
YAL048C	7.25559	6.20081	5.961
YAL047W-A	2.06981	2.6891	3.27271
YAL047C	6.13605	6.23406	5.19082
YAL046C	83.4961	70.6371	69.5106
YAL045C	51.9156	52.1605	56.0381
YAL044W-A	67.3775	71.7587	65.0257
YAL044C	116.454	112.974	119.975
YAL043C	24.7996	24.2359	22.7286
YAL042C-A	83.235	83.6388	96.8552
YAL042W	104.92	103.093	107.702
YAL041W	20.8989	22.0383	19.8725
YAL040C	26.6142	27.3068	24.1835
YAL039C	27.887	28.1687	26.6218
YAL038W	3284.77	3331.86	3160.63
YAL037C-B	2632.22	2593.1	2437.87
YAL037C-A	19.3589	8.38369	6.1219
YAL037W	2.64503	2.8146	3.44137
YAL036C	79.5497	75.8204	74.344
YAL035W	162.847	163.265	151.397
YAL034C-B	23.168	26.9861	19.453
YAL034W-A	6.28126	6.5519	6.15124
YAL034C	9.67257	8.96309	9.16298
YAL033W	22.8918	21.2911	27.4018
YAL032C	15.7226	17.2058	14.8564
YAL031W-A	33.226	26.38	27.1434
YAL031C	10.3722	9.84106	9.14237
YAL030W	144.6	124.551	153.35
YAL029C	31.0418	31.5418	29.9713
YAL028W	2.72721	2.85085	2.77564
YAL027W	7.73244	8.18563	7.45924
YAL026C-A	30.4029	31.9071	29.7554
YAL026C	25.7323	27.2816	26.0132
YAL025C	46.2492	43.7341	47.9227
YAL024C	8.72126	9.08423	8.43722
YAL023C	132.643	133.524	124.382
YAL022C	25.2941	28.3108	25.8564
YAL021C	43.4611	40.6103	39.0003
YAL020C	9.19062	7.71909	8.31398
YAL019W-A	2.74391	3.96099	3.22293
YAL019W	31.2004	30.6023	30.7925
YAL018C	0	0.0498326	0.072777
YAL017W	16.7792	16.263	14.5893
YAL016C-B	133.386	98.4147	149.977
YAL016C-A	47.4294	46.0099	54.7953
YAL016W	51.7014	53.3861	51.9032
YAL015C	9.83513	8.40394	8.14506
YAL014C	25.3757	27.9984	28.5206
YAL013W	9.69572	8.88517	10.5945
YAL012W	302.919	306.032	283.779
YAL011W	7.82723	7.20315	7.32796
YAL010C	7.89188	8.63268	8.73484
YAL009W	14.1389	16.6247	12.5392
YAL008W	22.8997	24.1143	20.3528
YAL007C	110.691	118.18	103.117
YAL005C	317.066	316.615	298.731
YAL004W	266.478	279.334	279.234
YAL003W	2820.19	2884.46	2668.98
YAL002W	8.42137	8.635	8.44925
YAL001C	10.2198	10.2109	9.68728
YAR002W	31.8164	33.2543	30.5905
YAR002C-A	149.095	138.152	145.932
YAR003W	13.737	14.7846	14.2404
YAR007C	31.0225	33.5197	29.1521
YAR008W	12.3148	11.9211	11.179
YAR009C	1.28012	1.3479	1.42876
YAR010C	0.0390527	0	0
YAR014C	26.7131	29.3173	29.7568
YAR015W	76.3331	79.3593	69.634
YAR018C	13.2284	14.1676	11.9235
YAR019C	5.84626	5.82388	4.9466
YAR019W-A	1.49728	3.02597	0.946976
YAR020C	70.3357	15.23	37.0707
YAR023C	4.32398	4.49418	5.92533
YAR027W	21.6566	21.7651	22.4817
YAR028W	11.4055	10.6753	11.3439
YAR029W	58.0265	39.678	28.9735
YAR030C	13.9793	12.8891	13.1195
YAR031W	3.17159	3.19552	2.49716
YAR033W	2.75938	2.629	3.02504
YAR035W	4.1596	4.04311	3.37619
YAR035C-A	0	0	0
YAR042W	25.6864	25.6858	24.5765
