Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YAL001C	5.06190695326292	1.46646581894963	1.52744393603069	7.89830165955577	positive	1.55979894939122	0.306656189892575	0.873313130679361	2.19945111741819	positive
YAL002W	5.30533688144262	1.30854062775291	2.45612627147573	8.14660386579533	positive	1.57724891145891	0.35055261156732	0.890938108918823	2.34590662249874	positive
YAL003W	4.96070872331511	1.22770633782576	2.34338559530458	7.60562083790521	positive	1.21680411252327	0.386318855496314	0.334678422243596	1.99050911029048	positive
YAL007C	5.31294038636957	1.28330802565188	2.70839822321998	8.18453132143878	positive	1.57226785478452	0.393278025670418	0.807548618148586	2.48513207488833	positive
YAL008W	4.76769633007336	1.34633564684131	1.93750946351662	7.78856434966518	positive	1.2756262207146	0.388734584007885	0.456610721092576	2.2881411825577	positive
YAL009W	4.81139876871088	1.30420831673715	1.9499363853956	7.53438271043158	positive	1.03341710727494	0.448743677151567	0.137445091546402	1.94717358463037	positive
YAL010C	5.32533774508157	1.35093704581908	2.39192349734159	8.02474343313079	positive	1.62503473076198	0.342800550880156	0.895107783403513	2.39746695821678	positive
YAL011W	5.15596779766072	1.3147701740052	2.43308160676078	7.75173392402836	positive	1.49257065355893	0.429440235536892	0.14152554189418	2.4106061130593	positive
YAL012W	4.89317932393082	1.42890217677626	0.463751833614943	7.3749906155055	positive	1.34406859580855	0.419855407848566	0.570659771070249	2.39044397848199	positive
YAL013W	5.08174534433005	1.26384338339647	2.47188290197175	7.75913089524896	positive	1.3509448089178	0.349780588870473	0.312764739594378	2.01429155867055	positive
YAL014C	5.47664180139608	1.45216665686287	2.78325481583072	8.92142280061288	positive	1.5070690817369	0.368727134117916	0.759619034874212	2.40244544508407	positive
YAL015C	4.91719807452973	1.61389185251816	1.19189252203	8.6615035431207	positive	1.38384235199513	0.317697217361498	0.796423190559919	2.03576111340972	positive
YAL016C-B	5.09572893274084	1.45066951322	1.66449359653148	7.93574848129046	positive	1.61296801409188	0.515038557928935	0.34405329732703	2.65956845076673	positive
YAL017W	5.30944775350928	1.38897708339129	2.58665347851356	8.27251259258839	positive	1.61959822248913	0.355666825054928	0.824020332561373	2.34548808506489	positive
YAL018C	4.57762613059535	1.65739814538334	1.34255865456524	8.07797445058455	positive	0.976484645015797	0.571270528950787	-0.39815147885585	1.8399431028826	zero
YAL019W	4.68456607174229	1.25977937927218	1.79943678379993	7.31934645428102	positive	1.14740897602926	0.279088429897981	0.541455298068554	1.7382091945302	positive
YAL021C	5.0971667841555	1.22117443495833	2.56631639526507	7.55378310025246	positive	1.43795159898871	0.371258598373922	0.668328227806173	2.24442360938907	positive
YAL022C	4.81425472336154	1.23488516868632	1.78454154060863	7.15577514267893	positive	1.27442281988319	0.333679661659699	0.674722312052313	1.984240730693	positive
YAL023C	4.9407034606184	1.17459794285388	2.57526605839188	7.35285290062824	positive	1.32423559169544	0.396588009029742	0.567391273277468	2.35817948356318	positive
YAL024C	4.90528136376516	1.22876103113174	2.29008592917455	7.4096097276918	positive	1.22670606832942	0.475004944474253	0.0191057383216634	2.10190794643756	positive
YAL025C	4.40880612712974	1.66975287753066	1.25133154873417	7.51657360854964	positive	0.878978888194582	0.410999985394484	0.0336462782095494	1.63847094736357	positive
YAL028W	5.00680415454847	1.47139354462596	1.45903414698823	7.95721680326479	positive	1.55052140793303	0.425382310431045	0.621782912957761	2.59571730493509	positive
YAL029C	4.90453537521049	1.30828087264373	1.64561839376469	7.42321434134463	positive	1.36417411672433	0.33170387123173	0.674425280991644	2.20817612648055	positive
YAL030W	4.72201938821715	1.5192428357923	1.48586621878414	8.11574343753881	positive	0.981297370327132	0.380881198481037	0.166873053372706	1.82556941202384	positive
YAL032C	5.35369114665938	1.18404970759509	2.89998129076971	7.93423318239651	positive	1.46733676823791	0.42492040561241	0.39597304847931	2.33588827688253	positive
YAL033W	4.7086992225851	1.28729076700051	2.2852051736669	7.79681966131711	positive	1.18868806011884	0.442308943495132	0.210167683150148	2.0993012254939	positive
YAL034C	5.60358522843622	1.30552341946082	2.77183075212724	8.20513197688868	positive	1.74625780076936	0.448061870869853	0.755621444916226	2.72780650237888	positive
YAL035W	4.49521746348589	1.26459082692476	1.7064322694111	7.53189413410758	positive	0.994482974872782	0.277410002573134	0.418066637047695	1.53311881303765	positive
YAL036C	4.89331805136457	1.24673522101402	1.78384632854245	7.3035169578433	positive	1.2551111343972	0.380157384525453	0.468958779643443	2.18530692190628	positive
