Gene	Histone 0min Rep1	Histone 20min Rep1	Histone 40min Rep1	Histone 60min Rep1	Histone 0min Rep2	Histone 20min Rep2	Histone 40min Rep2	Histone 60min Rep2	Histone 0min Rep3	Histone 20min Rep3	Histone 40min Rep3	Histone 60min Rep3
YAL001C	0.028867559	0.050822245	0.080916308	0.124613768	0.031333076	0.053226742	0.106617505	0.152512486	0.029153226	0.062443309	0.115787121	0.165796385
YAL002W	0.021150578	0.038412322	0.061612096	0.09338981	0.022041933	0.040002724	0.081212618	0.102917795	0.018794441	0.048312013	0.084310613	0.116260923
YAL003W	0.095368029	0.170274174	0.234485273	0.311625771	0.104893569	0.193281458	0.263423169	0.372979946	0.107700332	0.21606172	0.36377439	0.399158387
YAL007C	0.021736302	0.05248064	0.075020185	0.117815306	0.029544119	0.061564894	0.098013639	0.130476682	0.027336517	0.065761312	0.120505929	0.159784684
YAL008W	0.014898271	0.022261027	0.032127467	0.042101762	0.012382759	0.023473898	0.036011899	0.048269065	0.01178141	0.024839605	0.033707456	0.055811776
YAL009W	0.012679621	0.021508928	0.030355506	0.034268753	0.014341237	0.020595132	0.032779014	0.040909186	0.014133392	0.019005655	0.040788745	0.047063659
YAL010C	0.020628539	0.034729872	0.062362989	0.09079454	0.021396784	0.035280947	0.077487025	0.109961568	0.019509005	0.042347038	0.085088841	0.114554803
YAL011W	0.034300363	0.069813383	0.10122295	0.151765515	0.038673037	0.0668445	0.126999375	0.179143037	0.038836226	0.082364758	0.147855821	0.20513421
YAL012W	0.037526036	0.063990162	0.097595034	0.131289752	0.047388608	0.071046322	0.1363677	0.15441364	0.043397381	0.085919924	0.150382476	0.186649489
YAL013W	0.033498488	0.059351865	0.090752116	0.1234215	0.038764058	0.062582211	0.10770347	0.145970976	0.032494342	0.067653764	0.120381063	0.158407242
YAL014C	0.021936241	0.060335658	0.091202508	0.126823663	0.038769109	0.059586427	0.121253952	0.15377901	0.033339703	0.07159615	0.12822276	0.156078966
YAL015C	0.018212365	0.031919768	0.046465808	0.070909899	0.020762013	0.036239328	0.059967449	0.082257892	0.016811961	0.033485203	0.057465997	0.079125161
YAL016C-B	0.028921231	0.047435113	0.064965661	0.092595651	0.018812145	0.037473871	0.083835194	0.12669822	0.025182591	0.039674414	0.09703507	0.150389425
YAL017W	0.029549135	0.063093798	0.096073745	0.146537376	0.035068683	0.058275894	0.121819905	0.174152404	0.03455581	0.073451137	0.136609676	0.187219095
YAL018C	0.012357271	0.018461374	0.025325345	0.033625216	0.011868347	0.015348846	0.027641384	0.03201401	0.009941115	0.016597603	0.03121294	0.029370187
YAL019W	0.055776616	0.090133951	0.124302775	0.166076685	0.069767879	0.088684746	0.16062949	0.196916559	0.065309764	0.104648764	0.184539029	0.225827021
YAL021C	0.032531356	0.064991153	0.092295768	0.135058688	0.040707811	0.063918829	0.121663427	0.161765589	0.040397659	0.078369645	0.142673116	0.183548846
YAL022C	0.011905719	0.02607159	0.035676947	0.052252721	0.015446048	0.024763442	0.040267352	0.049049985	0.014562469	0.026865322	0.042306692	0.055948772
YAL023C	0.066147154	0.125963939	0.180888053	0.251355488	0.086137958	0.141582116	0.218165355	0.290240278	0.091174632	0.175373652	0.287510835	0.35986209
YAL024C	0.0348374	0.0606344	0.089506383	0.12131113	0.04468992	0.066389528	0.11718908	0.148805084	0.041322562	0.079952286	0.131402119	0.178566947
YAL025C	0.074950923	0.102936292	0.135788818	0.192263875	0.087785869	0.114409338	0.162190302	0.199805824	0.094417503	0.148616346	0.228065441	0.25169256
YAL028W	0.013564776	0.021283653	0.032401587	0.051462907	0.013176646	0.019995181	0.039622997	0.056895066	0.009479543	0.021781075	0.043326111	0.063745813
YAL029C	0.049602678	0.092066417	0.127390589	0.184340126	0.057662321	0.086349055	0.164170591	0.206959523	0.05676044	0.109764132	0.189800061	0.24897247
YAL030W	0.015373392	0.025422227	0.035165259	0.03864354	0.017852227	0.023062739	0.036103762	0.039386987	0.01481251	0.025807058	0.048756779	0.046662801
YAL032C	0.021024954	0.043486251	0.062103824	0.088153264	0.024101387	0.045446134	0.085253707	0.104274066	0.020505287	0.049512095	0.095003345	0.125770679
YAL033W	0.010635511	0.022134375	0.02677091	0.035737423	0.012603923	0.017841117	0.026652996	0.03957973	0.010420157	0.027650326	0.032730335	0.049666759
YAL034C	0.03112813	0.092336262	0.137295395	0.192199948	0.043959952	0.093390395	0.186362184	0.250176908	0.041180054	0.107547056	0.205186665	0.268659013
YAL035W	0.155225671	0.240190584	0.31498569	0.402042379	0.168431235	0.232339856	0.33709027	0.474546293	0.18260601	0.292357446	0.429722662	0.530440825
YAL036C	0.036542984	0.062648371	0.097121004	0.124398461	0.044470853	0.069838863	0.11541586	0.134709382	0.041021308	0.076733076	0.13691012	0.170219368
YAL037C-A	0.027532129	0.078677624	0.11644386	0.155407247	0.034333538	0.080606763	0.140106355	0.197671613	0.027701634	0.099728419	0.138704839	0.219382817
YAL037W	0.01366807	0.023251303	0.031178963	0.038725786	0.013260949	0.019684654	0.033576806	0.044340328	0.010914152	0.02326577	0.036980847	0.05082527
YAL039C	0.014079878	0.025215491	0.028303558	0.042427247	0.015079017	0.023141053	0.037657486	0.040612564	0.011050174	0.025020223	0.038268511	0.040349221
YAL040C	0.08759421	0.165805546	0.223139272	0.309085795	0.104958796	0.172220094	0.285054729	0.337162946	0.104277664	0.212591006	0.369803667	0.442520129
YAL041W	0.054555388	0.101315588	0.151655147	0.211243587	0.063794081	0.106260539	0.193656009	0.24333297	0.062163427	0.122713058	0.226720333	0.294878366
YAL043C	0.038619603	0.071795243	0.107318225	0.150744687	0.047608407	0.080048455	0.138417573	0.186358338	0.041310909	0.087358611	0.152452026	0.207972352
YAL044C	0.017250745	0.025648431	0.029839871	0.05004855	0.020579187	0.027734612	0.04631422	0.057006838	0.014880214	0.023228394	0.04031777	0.0522094
YAL046C	0.016874737	0.01935905	0.021567126	0.029700521	0.012894515	0.019741843	0.036086468	0.035435179	0.012496342	0.018265849	0.036837078	0.045161353
YAL047C	0.016537766	0.027234636	0.036469689	0.055771543	0.016684814	0.025650689	0.045313928	0.064177629	0.013152958	0.028723936	0.05266925	0.068928956
YAL049C	0.021173491	0.051708839	0.083293901	0.106249112	0.024282142	0.059447291	0.10747637	0.137760497	0.024395765	0.063058545	0.110079864	0.153217695
YAL051W	0.024667253	0.049796436	0.069621716	0.109908169	0.027541982	0.04672816	0.086293617	0.122827677	0.027103828	0.057773616	0.097823603	0.149809957
YAL053W	0.024026191	0.060268073	0.091615795	0.13259756	0.031016312	0.056866757	0.112942332	0.151396102	0.027623065	0.067128701	0.124103707	0.174711964
