Gene	Tx 0min Rep1	Tx 20min Rep1	Tx 40min Rep1	Tx 60min Rep1	Tx 0min Rep2	Tx 20min Rep2	Tx 40min Rep2	Tx 60min Rep2	Tx 0min Rep3	Tx 20min Rep3	Tx 40min Rep3
YAL001C	16.1803	19.2656	20.32	20.5594	17.3202	18.4402	20.6114	21.2993	18.9919	18.5263	20.8384
YAL002W	14.0957	15.8186	15.7353	15.8361	14.2474	15.4184	15.7832	17.2764	15.091	15.1639	17.1596
YAL003W	2042.6	2053.1	1803.79	1451.47	1844.65	1710.75	1782.63	1700.5	1857.5	1707.88	1739.95
YAL004W	0	0.155738	0	0.0565455	0.0394229	0	0.0434714	0	0	0.0639252	0
YAL005C	420.745	457.673	534.91	434.07	327.806	341.54	495.14	470.841	400.266	436.869	570.409
YAL007C	127.134	132.948	134.364	124.513	108.098	110.918	112.852	117.799	120.455	117.686	126.75
YAL008W	27.5976	36.1289	38.19	38.5752	29.0187	36.736	40.0731	42.8353	38.4521	38.699	45.7151
YAL009W	20.5529	21.5323	21.5871	22.4767	22.2764	21.0718	21.4282	23.5346	20.9276	19.646	22.8869
YAL010C	15.1534	16.3622	15.3981	16.5598	13.7906	13.612	14.2784	14.5285	13.4626	13.6322	14.901
YAL011W	10.0583	10.4646	10.0815	10.152	9.97472	10.1277	11.031	10.9181	10.531	9.39453	11.1612
YAL012W	240.441	264.667	205.807	150.652	216.486	206.604	218.778	196.602	208.36	199.553	198.669
YAL013W	9.82111	11.3291	9.08638	8.59159	10.3242	12.9229	14.9823	13.3148	14.2873	11.1606	13.1095
YAL014C	37.5703	39.5105	36.0787	29.5605	34.9146	38.0722	40.8395	40.2682	37.6038	38.0872	36.8756
YAL015C	17.1068	19.9072	19.1905	17.4372	20.3775	20.6774	22.8714	23.4785	21.374	17.9696	20.9799
YAL016C-A	0.438801	0.312303	1.4313	1.3607	0.948664	0.71789	1.30761	0	1.04719	1.15371	1.44281
YAL016C-B	0	0	0	0	0	0	0	0	0	0	0
YAL016W	72.6433	85.749	79.0506	70.3233	64.5119	65.235	69.7149	73.001	72.035	67.3092	74.8263
YAL017W	26.0799	32.5112	32.6615	29.4388	24.2161	28.7897	30.4242	31.0121	26.2767	29.5036	33.4623
YAL018C	0	0.170478	0.097664	0	0.0431543	0.0979696	0.047586	0.117013	0.0317574	0	0.131265
YAL019W	34.5499	35.1142	32.3445	30.3116	36.4878	34.5487	35.1531	36.8101	34.0903	31.6335	32.6576
YAL019W-A	0.362653	0.838848	0.443596	0.421713	0.441021	0.148328	0.486311	0.265741	0.576975	0.397292	0.67074
