Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YAL001C	-2.48459962906652	0.874992584957897	-4.41077744968887	-0.755436038515393	negative	-0.411080920236926	0.262914494909947	-0.925022194527545	0.220212348999273	zero
YAL002W	-2.43445783573204	0.812869288370471	-4.07569495813114	-0.661436449507397	negative	-0.41352419553404	0.231711057446587	-0.89129310184305	0.177861991063926	zero
YAL003W	-2.62017047797757	0.777889565913986	-4.38734293108008	-1.07062737341549	negative	-0.407785590433772	0.346974277809534	-1.07758005659017	0.37117008812801	zero
YAL007C	-2.46748195429116	1.02000905957695	-5.01811211343103	-0.404586808695112	negative	-0.388832919489791	0.238126584517021	-0.996788891227803	0.106186235807389	zero
YAL008W	-2.4406411135079	1.22275512105993	-5.78029079435603	0.325495391247679	zero	-0.454468831809608	0.32434566276276	-1.18792577048237	0.191641225475116	zero
YAL009W	-2.48513589110031	0.872608672769346	-4.21563049616823	-0.568545300838815	negative	-0.446350500381794	0.492027933532972	-2.06987038066946	0.304301448083603	zero
YAL010C	-2.51254881089868	0.854277806991689	-4.49056815121586	-0.631460205929748	negative	-0.419695302517276	0.307443645089765	-1.13083653570782	0.166073513694759	zero
YAL011W	-2.33253056398662	0.867594299255688	-4.033173170984	-0.402173726180326	negative	-0.399709585948456	0.214420652555497	-0.88324088692832	0.0642311865875762	zero
YAL012W	-2.35612862604256	0.908464081913599	-4.23282705185898	-0.465156105527379	negative	-0.41785415796881	0.178444231682697	-0.819399683787905	-0.0328888333164212	negative
YAL013W	-2.43198216964166	0.764796976337892	-3.97072953815651	-0.760345517364483	negative	-0.387982972092854	0.207775067542056	-0.834951591470684	0.0606189022505714	zero
YAL014C	-2.6168194661555	0.987879557872969	-5.34496373841082	-0.715950921141869	negative	-0.464377279478796	0.227968421641577	-0.970080264958386	0.0258806787553021	zero
YAL015C	-2.39620299956005	0.940211530415276	-3.90242439985851	0.33036430332202	zero	-0.343727134308016	0.395271045870551	-0.963120135041407	1.01363455597348	zero
YAL016C-B	-2.68073215597378	1.05977826371342	-5.19676966974674	-0.327609954071687	negative	-0.521588836501268	0.503567410409621	-1.60833530139444	0.643948117866207	zero
YAL017W	-2.46420721869067	0.961045997392619	-4.51533684913727	-0.431153676391539	negative	-0.455854825450717	0.32497306327102	-1.30893553825593	0.257134951478919	zero
YAL018C	-1.9109731571342	1.16483971800685	-3.96744508286228	1.70401931773105	zero	-0.232466394715136	0.392577915589723	-1.00419563686848	1.09308395709518	zero
YAL019W	-2.40751912424727	0.878832565420974	-4.16998998232081	-0.454252110044192	negative	-0.439244928930721	0.261656674564646	-1.13941744938118	0.108786838080212	zero
YAL021C	-2.46032550294689	0.845922107826808	-4.45513375854644	-0.730529710388935	negative	-0.404965412728408	0.271787496441485	-0.997100405751048	0.116258563170765	zero
YAL022C	-2.35482625176824	0.929454805975406	-4.08173756076608	-0.300272618254492	negative	-0.394403377629073	0.270732751960172	-0.971252885316945	0.251902575878843	zero
YAL023C	-2.34337115660911	0.854668691819814	-4.26282467936447	-0.526022671390652	negative	-0.353212890098229	0.252478375275339	-0.871464114437126	0.319171597910724	zero
YAL024C	-2.47996223374256	0.856791818941513	-4.28635752993421	-0.612240412059842	negative	-0.427691531739368	0.337449406538341	-1.08949903645785	0.205778376384723	zero
YAL025C	-2.43793423271675	0.954868341417063	-4.98154051171485	-0.735906450140084	negative	-0.375438738266917	0.240849722530733	-0.928652216049072	0.0934123109801721	zero
YAL028W	-2.44089329083444	0.812674781201373	-4.09254461347071	-0.756758933534498	negative	-0.414206068822545	0.262016278249759	-1.17066722665982	0.0943876020960519	zero
