Gene	Histone 0min Rep1	Histone 30min Rep1	Histone 60min Rep1	Histone 90min Rep1	Histone 0min Rep2	Histone 30min Rep2	Histone 60min Rep2	Histone 90min Rep2	Histone 0min Rep3	Histone 30min Rep3	Histone 60min Rep3	Histone 90min Rep3
YAL001C	0.253124827	0.17414565	0.147587982	0.115613949	0.25040138	0.210814002	0.165277454	0.125257417	0.330141929	0.258961744	0.246566177	0.201148217
YAL002W	0.207965148	0.149366324	0.132130222	0.09628951	0.208775554	0.171596542	0.139436284	0.105649546	0.305297133	0.22643252	0.224020979	0.171768848
YAL003W	0.729406033	0.566875384	0.504073141	0.390200661	0.695452884	0.668224382	0.454969233	0.31673375	0.961043657	0.791116291	0.649784064	0.569268998
YAL007C	0.206855347	0.157347724	0.159515046	0.10797036	0.194433773	0.196859708	0.131930465	0.107768699	0.319906248	0.268411327	0.22798377	0.192676381
YAL008W	0.096061559	0.071194255	0.065592752	0.037206477	0.083053903	0.099538546	0.056381956	0.048891863	0.138540704	0.122776757	0.111335471	0.080952255
YAL009W	0.064848006	0.05045421	0.047393421	0.029886723	0.069116781	0.070331505	0.05366836	0.042511715	0.117307259	0.096337144	0.085535153	0.067561518
YAL010C	0.161496516	0.109510949	0.104737435	0.069756817	0.152089282	0.142474372	0.105255439	0.075364901	0.230066818	0.179529036	0.175888207	0.142944425
YAL011W	0.24334411	0.166587818	0.145990324	0.117543714	0.240731453	0.184624736	0.154268739	0.122542594	0.320446394	0.265551955	0.249565759	0.199503626
YAL012W	0.337627474	0.238239456	0.223711391	0.158940054	0.300167223	0.213241068	0.192555456	0.150153505	0.417474354	0.325995164	0.310928791	0.243933702
YAL013W	0.236576369	0.179205393	0.153400733	0.12176433	0.237019302	0.207165773	0.163915055	0.126298914	0.33922701	0.267702254	0.253525574	0.19487369
YAL014C	0.222172896	0.160421327	0.127156139	0.09784168	0.23014763	0.18008381	0.147077917	0.111645478	0.329973504	0.265524569	0.234896375	0.178005813
YAL015C	0.100013916	0.079221113	0.069343546	0.050359799	0.110368826	0.096181783	0.071201683	0.058239733	0.158195107	0.125989713	0.108927732	0.087690883
YAL016C-B	0.131670215	0.088097403	0.068248597	0.051022108	0.147372022	0.116103011	0.080014946	0.046052215	0.181601484	0.148319839	0.140902694	0.113857995
YAL017W	0.279191386	0.196774535	0.159250706	0.125633936	0.262078388	0.218981767	0.180909868	0.126478919	0.350150102	0.279672565	0.264494335	0.218252256
YAL018C	0.042206716	0.028358474	0.028713743	0.023758498	0.043126834	0.035660618	0.030146022	0.02560707	0.051445028	0.044483763	0.045356441	0.038924971
YAL019W	0.319630911	0.222724327	0.185640665	0.138849199	0.29413396	0.242274257	0.208745277	0.153695056	0.393421885	0.311412652	0.288675329	0.236405303
YAL021C	0.272723238	0.201564816	0.173324377	0.133494783	0.273231029	0.215556419	0.189391292	0.136343621	0.353407184	0.295832427	0.27324313	0.222349332
YAL022C	0.101759093	0.067530887	0.061101524	0.046669082	0.100034335	0.088968223	0.068349643	0.052931851	0.150581035	0.11915023	0.110151727	0.094383663
YAL023C	0.372095346	0.258608269	0.235531471	0.180425144	0.367860383	0.294028058	0.243396693	0.189328512	0.47362696	0.374457516	0.369973544	0.319545395
YAL024C	0.259014032	0.191917903	0.162005638	0.122877099	0.26367526	0.21718185	0.165698049	0.122559537	0.341322485	0.274475122	0.253512411	0.212409638
YAL025C	0.421575734	0.334392861	0.305674699	0.216727299	0.422867177	0.355164105	0.315272012	0.221842055	0.554160432	0.439007066	0.395583524	0.353190938
YAL028W	0.092448355	0.070663967	0.060039089	0.046353936	0.105550909	0.096845056	0.074446955	0.056034289	0.144791482	0.112909454	0.103181756	0.086861823
YAL029C	0.360860023	0.250977294	0.218084099	0.166077142	0.351753293	0.271233226	0.234672291	0.159508404	0.458002198	0.346833786	0.332623403	0.276228188
YAL030W	0.068566428	0.034848225	0.043121555	0.03520476	0.06228342	0.06473588	0.048629197	0.034259163	0.0935323	0.099181251	0.066715912	0.055745368
YAL032C	0.195926537	0.145117839	0.114721585	0.0858604	0.185542673	0.164862854	0.13207688	0.099165245	0.264465725	0.197987146	0.185914284	0.165194341
YAL033W	0.057929439	0.043583492	0.05703458	0.043725875	0.073412897	0.064598069	0.054700036	0.035184268	0.11239818	0.075292757	0.078652958	0.073914684
YAL034C	0.276265401	0.208766386	0.180116041	0.128904246	0.30489311	0.250031181	0.194275523	0.142303134	0.371026188	0.310864399	0.26167111	0.221755293
YAL035W	0.595311383	0.424940776	0.36563323	0.296251577	0.562817799	0.471911477	0.398839675	0.285132234	0.712351357	0.577824442	0.539069508	0.466345927
YAL036C	0.294609599	0.229407714	0.197213332	0.140367665	0.308953096	0.23506423	0.195650503	0.14228809	0.404469161	0.332212753	0.290116586	0.254801041
YAL037C-A	0.100601032	0.067288129	0.065155581	0.042419312	0.087842989	0.093593194	0.065106613	0.03492786	0.161269656	0.105488731	0.149153935	0.077339559
YAL037W	0.080675049	0.04825241	0.044369821	0.04014921	0.06639777	0.073736756	0.054787439	0.046665718	0.107133177	0.09285595	0.092181325	0.060143956
YAL039C	0.082415179	0.060749902	0.052796175	0.037627093	0.094911281	0.0763689	0.06734817	0.052450719	0.144682965	0.113000231	0.082783009	0.078796814
YAL040C	0.506055648	0.368324207	0.312730365	0.233264836	0.483147371	0.370293322	0.302006939	0.234277131	0.637155065	0.477286724	0.475145893	0.361385088
YAL041W	0.351515784	0.259490255	0.21359728	0.152709006	0.337976733	0.282540171	0.226798643	0.175895687	0.439272992	0.356269356	0.334416968	0.266828474
YAL043C	0.247832238	0.175494484	0.152454782	0.123407577	0.244287087	0.201090133	0.17135899	0.132412695	0.334158251	0.259154291	0.250212696	0.21075541
YAL044C	0.085900216	0.063857906	0.053363854	0.049088671	0.099114616	0.069489665	0.054387489	0.048420242	0.155394027	0.114085873	0.108940916	0.080601156
YAL046C	0.044550683	0.03239793	0.026374748	0.021686532	0.05249819	0.048116381	0.036668275	0.025076633	0.058542244	0.056896361	0.056632064	0.051217756
YAL047C	0.112424364	0.084041547	0.070547346	0.0526869	0.112535304	0.098573327	0.080283684	0.066638429	0.169577819	0.143420404	0.139234606	0.112866451
