Gene	Histone 0min Rep1	Histone 30min Rep1	Histone 60min Rep1	Histone 90min Rep1	Histone 0min Rep2	Histone 30min Rep2	Histone 60min Rep2	Histone 90min Rep2	Histone 0min Rep3	Histone 30min Rep3	Histone 60min Rep3	Histone 90min Rep3
YAL001C	0.15473998	0.10106206	0.070909162	0.05808821	0.164314895	0.109707076	0.07861573	0.070323893	0.14238124	0.103427516	0.077463794	0.06512673
YAL002W	0.105985429	0.071108045	0.047739568	0.043186227	0.121757594	0.080813087	0.05858723	0.050264499	0.102267516	0.078192101	0.054513353	0.045080527
YAL003W	0.624132628	0.378332592	0.29028883	0.243326579	0.64524588	0.450704862	0.330743172	0.277425114	0.570361719	0.402859094	0.308124317	0.251105781
YAL007C	0.124912241	0.08472002	0.05560462	0.060529424	0.141956731	0.099733491	0.073494378	0.058307369	0.128102045	0.098367528	0.062022909	0.046302994
YAL008W	0.025804052	0.024911581	0.015603548	0.018215084	0.045937667	0.034219059	0.024940265	0.024128901	0.041489193	0.02420628	0.021788807	0.020633487
YAL009W	0.030941786	0.022868526	0.016736873	0.016841309	0.033030062	0.029740599	0.018444231	0.021066312	0.035945755	0.026362963	0.019689499	0.019070978
YAL010C	0.088316209	0.062737698	0.04375574	0.039085202	0.102007101	0.071242552	0.050668061	0.04587365	0.084764413	0.0664896	0.04977733	0.039940431
YAL011W	0.166713952	0.117925833	0.077180848	0.076267554	0.185378217	0.123065588	0.090029794	0.086361372	0.159490868	0.118964979	0.092149632	0.078336482
YAL012W	0.255588284	0.15503855	0.11089122	0.091574914	0.280908396	0.186459862	0.133151619	0.110082193	0.221524272	0.149082305	0.110065214	0.091722322
YAL013W	0.157322086	0.098639059	0.070751018	0.064877436	0.181771296	0.118279443	0.086235264	0.0720632	0.14118388	0.103594179	0.081558378	0.066381259
YAL014C	0.133527161	0.094206135	0.063664216	0.054468999	0.166773143	0.114138053	0.076953116	0.065154141	0.136348077	0.09832879	0.072089057	0.055548414
YAL015C	0.06310279	0.037054022	0.02567246	0.023884303	0.067223118	0.050099435	0.038539418	0.026104106	0.062644293	0.044574257	0.037766523	0.027813168
YAL016C-B	0.08694771	0.060107586	0.034374941	0.035421296	0.126273608	0.067016581	0.038663258	0.050507038	0.103341909	0.063921925	0.022925237	0.041906839
YAL017W	0.165748667	0.117681508	0.078702351	0.071269708	0.186516406	0.125362155	0.096236896	0.080582632	0.154089971	0.114402304	0.083280297	0.076838925
YAL018C	0.02385714	0.017472877	0.017943738	0.013304987	0.032181352	0.020056549	0.021034657	0.018810679	0.03093678	0.022153312	0.017925369	0.014134924
YAL019W	0.25156498	0.180535261	0.134255444	0.125081542	0.292408411	0.195025817	0.156088763	0.140387834	0.260605241	0.191899421	0.156714698	0.12552391
YAL021C	0.16881005	0.113904499	0.083563251	0.068895019	0.200644846	0.125384465	0.098689479	0.083582579	0.154083265	0.113035113	0.094188232	0.073494729
YAL022C	0.069173167	0.041353954	0.03237181	0.032051588	0.086322308	0.058474104	0.042371658	0.037021906	0.064913159	0.048620507	0.044046775	0.032264201
YAL023C	0.285251772	0.215756784	0.151039723	0.139873581	0.350515488	0.229295865	0.181541238	0.1535633	0.279512667	0.194804513	0.161926192	0.134188774
YAL024C	0.206853425	0.151127516	0.106782802	0.091005583	0.249735075	0.157440117	0.121143841	0.108354787	0.197314719	0.147507556	0.114121036	0.094762202
YAL025C	0.319960801	0.214954967	0.157367382	0.150990149	0.342435167	0.222562495	0.175189165	0.152083876	0.318875096	0.235208047	0.176156955	0.136605055
YAL028W	0.033894258	0.020921956	0.016425967	0.017833922	0.041921189	0.031226461	0.020481413	0.021909095	0.033211653	0.03042873	0.021706464	0.021099493
YAL029C	0.275076778	0.189976961	0.129176774	0.111839783	0.302592322	0.190083883	0.148880199	0.127968366	0.25938762	0.181005292	0.142201461	0.113781611
YAL030W	0.037500424	0.025653852	0.023726983	0.023457516	0.047180317	0.027087486	0.023087291	0.028209443	0.033580784	0.034820203	0.024999887	0.021606771
YAL032C	0.09746178	0.054244813	0.045596544	0.03193891	0.123188273	0.075079193	0.046057675	0.038799554	0.091066475	0.070566377	0.044824936	0.041577432
YAL033W	0.037290494	0.02212151	0.018102339	0.015750803	0.040969159	0.026449358	0.022898944	0.017695132	0.031381966	0.024691142	0.027490739	0.021151923
YAL034C	0.166048978	0.098027715	0.065466736	0.063031692	0.193401707	0.125453925	0.094091499	0.07385837	0.154080497	0.094015348	0.07572968	0.067197211
YAL035W	0.512110214	0.373923346	0.268856941	0.249464362	0.578224888	0.390857645	0.302919143	0.272141695	0.483178834	0.367417061	0.306597539	0.261578989
YAL036C	0.187263669	0.118454601	0.09873348	0.078941318	0.22430415	0.136947298	0.101790014	0.086350276	0.214874195	0.13981043	0.106915264	0.082193836
YAL037C-A	0.105227215	0.042954699	0.034366	0.023894194	0.131088312	0.072495785	0.046165613	0.04446386	0.117015925	0.033717742	0.055926677	0.035728581
YAL037W	0.034718659	0.026054035	0.019168409	0.016393996	0.047054427	0.032528955	0.024450234	0.022636152	0.040440382	0.034812903	0.024662626	0.025116403
YAL039C	0.036012409	0.021281379	0.018518994	0.017458679	0.049787954	0.03078902	0.024386799	0.024723611	0.033750464	0.029364969	0.028180511	0.019023132
