Gene	Tx 0min Rep1	Tx 30min Rep1	Tx 60min Rep1	Tx 90min Rep1	Tx 0min Rep2	Tx 30min Rep2	Tx 60min Rep2	Tx 90min Rep2	Tx 0min Rep3	Tx 30min Rep3	Tx 60min Rep3	Tx 90min Rep3
Q0010	0.18723	0.215851	0	0.922931	0.603047	0.687587	0.62625	1.17243	0.187649	0.134998	0.503595	0.534363
Q0017	7.60238	0	0	0	18.3648	3.48989	0	0	3.8097	0	0	5.42438
Q0032	4.63011	2.66895	0	0	0.932065	1.06273	1.93586	3.62421	1.74018	0	0	0
Q0045	370.761	319.754	374.428	406.759	345.77	338.962	374.115	418.688	300.129	329.688	410.916	432.773
Q0050	481.767	419.072	491.511	571.097	454.918	455.266	463.956	519.441	361.609	364.922	440.912	587.567
Q0055	367.898	306.788	371.803	420.798	362.023	356.267	379.722	418.589	310.792	311.163	369.806	487.618
Q0060	66.6247	51.4349	64.2568	70.9876	59.6663	58.2477	58.9126	64.2702	45.1294	48.15	54.4351	75.1077
Q0065	156.953	138.925	164.383	184.383	150.874	155.659	162.741	184.988	128.076	132.478	156.855	195.609
Q0070	111.068	100.922	111.201	122.453	108.379	104.829	115.322	123.233	89.6895	98.6332	118.321	126.828
Q0075	23.0197	13.6161	18.4321	23.1941	19.7088	14.2156	18.7461	18.6052	15.8039	16.7576	23.9532	25.1681
Q0080	25.6663	4.93163	0	8.43462	6.88901	0	7.15408	0	4.28729	0	2.87645	0
Q0085	264.411	240.937	271.592	312.055	264.589	245.929	274.607	294.188	191.218	257.413	299.023	342.741
Q0092	0	0	0	0	0	0	0	0	0	0	3.00435	0
Q0105	381.654	313.932	372.383	406.137	331.554	315.585	374.212	399.802	269.582	326.604	386.988	426.025
Q0110	57.3331	46.5302	53.8954	64.616	49.0537	49.1594	50.2653	56.6997	35.3122	40.6466	44.055	66.6058
Q0115	47.9929	36.6352	43.0132	51.9999	42.9654	39.0091	45.5291	45.6458	34.1703	41.6277	44.8263	52.1281
Q0120	105.102	86.6123	101.779	114.903	91.8269	85.458	94.1296	102.545	73.5261	82.9736	95.1093	114.349
Q0130	21957	21758.4	24003	25488.6	20250.4	18093	22671	22625.1	18245.4	20748.1	24042.2	22917.2
Q0140	6.92278	5.2788	3.50621	4.19174	4.32343	1.92677	3.1907	2.10494	2.32186	2.12237	2.47415	2.02246
Q0142	16.6298	3.83439	0	13.116	8.03441	12.2143	8.34354	6.94237	33.3341	2.3981	11.1823	14.2387
Q0143	12.2616	0	13.1448	16.1179	23.0376	11.2574	30.7595	25.5939	24.578	17.6818	21.9867	11.665
Q0144	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	54.4338	38.0942	47.885	57.1614	40.3864	40.1047	43.1171	47.822	37.6868	36.2041	38.7982	63.219
Q0182	36.4379	37.4253	21.8396	34.4537	26.6732	19.0078	29.0845	25.4102	20.7497	23.6454	25.2814	29.3078
Q0250	466.864	405.039	484.816	583.214	439.534	416.137	484.188	555.541	344.917	398.683	463.136	580.265
Q0255	7.57467	3.89529	4.82958	6.57506	4.83675	3.52785	4.43192	4.51737	2.98795	3.31195	4.32123	6.36578
Q0275	365.69	331.698	387.713	405.16	328.914	326.861	363.059	397.183	283.79	310.727	354.17	407.028
Q0297	586.803	464.809	308.118	499.806	379.29	128.273	317.11	316.628	188.037	348.266	424.109	244.948
YAL001C	12.6872	13.8898	14.1964	14.8395	16.2375	16.394	16.1274	17.6271	16.8153	15.3058	18.5559	18.4127
YAL002W	12.9044	11.945	13.257	13.057	14.0621	15.8875	15.5155	17.0875	14.3889	13.9879	16.7716	18.9305
YAL003W	2461.67	2173.69	2231.34	2227.24	1993.38	2055.25	1891.25	1968.3	2051.46	2003.34	1879.43	1839.49
YAL004W	0	0	0	0	0.0521432	0.356718	0.0541494	0.0675838	0	0.046691	0	0.0924087
YAL005C	453.545	363.053	383.162	453.296	510.592	413.549	431.958	481.101	560.008	401.614	452.449	525.786
YAL007C	136.96	146.549	133.601	129.599	140.578	140.963	138.406	132.667	135.903	135.731	146.003	131.775
YAL008W	20.492	28.0756	29.2512	32.4267	40.4743	45.8075	40.9141	44.9432	45.5405	42.0239	44.0342	56.8959
YAL009W	16.106	16.4925	16.8229	15.7826	21.0402	20.6393	20.385	19.2469	20.7262	20.1383	22.6419	22.567
YAL010C	18.1891	14.6401	13.8495	15.1639	15.2537	16.6803	15.4902	14.5655	14.0504	15.4265	16.6695	16.417
YAL011W	6.26515	6.76573	8.79943	8.61607	9.28504	9.98964	10.133	9.46871	10.8256	9.28626	10.4735	10.5249
YAL012W	279.937	244.315	227.274	204.763	241.815	271.28	216.426	225.869	260.727	245.59	197.927	218.824
YAL013W	6.02615	5.7792	8.7042	8.67498	13.2689	14.0764	10.8809	12.6064	15.981	11.2663	11.4392	14.307
YAL014C	32.2599	36.9044	38.0262	35.3381	40.2072	43.5584	40.3388	40.6308	39.7665	38.8029	38.9326	36.2317
YAL015C	11.6555	13.4686	15.0291	13.0981	16.8672	18.8078	17.7434	16.7297	16.0112	16.3965	16.3875	20.8975
YAL016C-A	2.72699	0.449122	2.5058	0	0.627381	0.715332	0.65152	1.21974	2.7331	1.12356	1.57175	1.66778
YAL016C-B	0	0	0	0	0	0	0	0	0	0	2.0464	0
YAL016W	69.0721	63.3994	71.0509	74.5916	75.533	79.9018	79.5072	83.3197	77.1405	76.9444	86.933	91.8554
