GENE	Gene Length	DtL_0min_set2d_RNA_Rep1	DtL_0min_set2d_RNA_Rep2	DtL_0min_set2d_RNA_Rep3	DtL_20min_set2d_RNA_Rep1	DtL_20min_set2d_RNA_Rep2	DtL_20min_set2d_RNA_Rep3	DtL_40min_set2d_RNA_Rep1	DtL_40min_set2d_RNA_Rep2	DtL_40min_set2d_RNA_Rep3	DtL_60min_set2d_RNA_Rep1	DtL_60min_set2d_RNA_Rep2
Q0010	387	0.421782	0.227967	0.503285	0.150095	0.690046	0.184827	0	0.125689	0.173356	0.490471	0
Q0017	162	0	2.31412	3.40594	3.04726	0	0	0	0	0	0	6.27477
Q0032	291	4.56332	2.81876	1.03717	1.85588	0.533265	0.571335	0	0	1.07175	0.505379	1.91077
Q0045	1605	357.112	366.157	283.021	378.381	326.937	297.308	341.284	349.741	361.316	278.443	361.483
Q0050	2505	384.427	325.193	281.333	373.57	292.159	310.02	364.843	295.512	377.488	344.095	330.066
Q0055	2565	311.726	309.678	253.073	322.985	287.17	268.321	297.382	301.712	323.829	261.495	315.374
Q0060	1248	42.7076	40.9225	28.8983	41.2188	35.3882	30.4848	39.1026	30.6273	42.5299	31.6179	33.771
Q0065	1671	124.967	130.285	107.745	131.372	116.07	111.029	123.251	127.161	134.605	104.082	130.234
Q0070	1893	108.074	112.251	86.6477	109.701	102.699	91.6763	104.183	108.66	110.302	86.8431	112.66
Q0075	1065	31.0289	23.1127	21.3921	24.4191	24.4193	22.5054	27.077	21.0649	26.9428	24.7736	24.2266
Q0080	147	19.2732	5.20845	3.83291	6.85854	19.7072	8.44562	7.85828	0	15.8429	3.73532	10.5921
Q0085	780	100.079	78.0266	48.613	102.785	59.1803	51.1084	66.5936	66.1465	90.331	65.688	60.0011
Q0092	141	0	0	0	0	0	0	0	0	0	0	0
Q0105	1158	246.398	234.51	163.255	262.594	189.85	174.082	215.497	208.713	242.047	192.804	210.606
Q0110	1272	31.7202	24.4941	15.7056	25.6332	19.8272	20.2703	23.2916	19.1084	27.3607	21.5913	21.5967
Q0115	1554	26.5606	22.9618	11.5135	23.7447	18.5345	14.6001	19.0223	19.1128	22.2549	17.0639	20.2145
Q0120	1917	69.9831	65.6726	46.0663	66.9699	55.6058	51.7157	62.1765	60.167	68.1836	50.0198	61.6119
Q0130	231	21595.2	20730.9	18521.8	21781.3	21447.2	21066	23503.8	21015.9	23137.3	23585.6	22024.1
Q0140	1197	7.52133	5.27643	3.78526	3.29924	6.27811	6.37654	4.1807	3.03722	5.148	9.87667	4.11667
