GENE	Gene Length	LtD_0min_set2d_RNA_Rep1	LtD_0min_set2d_RNA_Rep2	LtD_0min_set2d_RNA_Rep3	LtD_30min_set2d_RNA_Rep1	LtD_30min_set2d_RNA_Rep2	LtD_30min_set2d_RNA_Rep3	LtD_60min_set2d_RNA_Rep1	LtD_60min_set2d_RNA_Rep2	LtD_60min_set2d_RNA_Rep3	LtD_90min_set2d_RNA_Rep1	LtD_90min_set2d_RNA_Rep2	LtD_90min_set2d_RNA_Rep3
Q0010	387	0.18723	0.603047	0.187649	0.215851	0.687587	0.134998	0	0.62625	0.503595	0.922931	1.17243	0.534363
Q0017	162	7.60238	18.3648	3.8097	0	3.48989	0	0	0	0	0	0	5.42438
Q0032	291	4.63011	0.932065	1.74018	2.66895	1.06273	0	0	1.93586	0	0	3.62421	0
Q0045	1605	370.761	345.77	300.129	319.754	338.962	329.688	374.428	374.115	410.916	406.759	418.688	432.773
Q0050	2505	481.767	454.918	361.609	419.072	455.266	364.922	491.511	463.956	440.912	571.097	519.441	587.567
Q0055	2565	367.898	362.023	310.792	306.788	356.267	311.163	371.803	379.722	369.806	420.798	418.589	487.618
Q0060	1248	66.6247	59.6663	45.1294	51.4349	58.2477	48.15	64.2568	58.9126	54.4351	70.9876	64.2702	75.1077
Q0065	1671	156.953	150.874	128.076	138.925	155.659	132.478	164.383	162.741	156.855	184.383	184.988	195.609
Q0070	1893	111.068	108.379	89.6895	100.922	104.829	98.6332	111.201	115.322	118.321	122.453	123.233	126.828
Q0075	1065	23.0197	19.7088	15.8039	13.6161	14.2156	16.7576	18.4321	18.7461	23.9532	23.1941	18.6052	25.1681
Q0080	147	25.6663	6.88901	4.28729	4.93163	0	0	0	7.15408	2.87645	8.43462	0	0
Q0085	780	264.411	264.589	191.218	240.937	245.929	257.413	271.592	274.607	299.023	312.055	294.188	342.741
Q0092	141	0	0	0	0	0	0	0	0	3.00435	0	0	0
Q0105	1158	381.654	331.554	269.582	313.932	315.585	326.604	372.383	374.212	386.988	406.137	399.802	426.025
Q0110	1272	57.3331	49.0537	35.3122	46.5302	49.1594	40.6466	53.8954	50.2653	44.055	64.616	56.6997	66.6058
Q0115	1554	47.9929	42.9654	34.1703	36.6352	39.0091	41.6277	43.0132	45.5291	44.8263	51.9999	45.6458	52.1281
Q0120	1917	105.102	91.8269	73.5261	86.6123	85.458	82.9736	101.779	94.1296	95.1093	114.903	102.545	114.349
Q0130	231	21957	20250.4	18245.4	21758.4	18093	20748.1	24003	22671	24042.2	25488.6	22625.1	22917.2
Q0140	1197	6.92278	4.32343	2.32186	5.2788	1.92677	2.12237	3.50621	3.1907	2.47415	4.19174	2.10494	2.02246
Q0142	177	16.6298	8.03441	33.3341	3.83439	12.2143	2.3981	0	8.34354	11.1823	13.116	6.94237	14.2387
Q0143	153	12.2616	23.0376	24.578	0	11.2574	17.6818	13.1448	30.7595	21.9867	16.1179	25.5939	11.665
Q0144	330	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	708	54.4338	40.3864	37.6868	38.0942	40.1047	36.2041	47.885	43.1171	38.7982	57.1614	47.822	63.219
Q0182	405	36.4379	26.6732	20.7497	37.4253	19.0078	23.6454	21.8396	29.0845	25.2814	34.4537	25.4102	29.3078
Q0250	756	466.864	439.534	344.917	405.039	416.137	398.683	484.816	484.188	463.136	583.214	555.541	580.265
